name,syn,category,abv
갈리아노,[],liqueur,42.3
계란,['달걀'],other,0.0
고량주,['연태고량주'],baijiu,34.0
그랑 마니에르,[],liqueur,40.0
그레나딘 시럽,[],other,0.0
그린 샤르트뢰즈,[],liqueur,55.0
깔루아,[],liqueur,20.0
깔바도스,[],brandy,40.0
꼬냑,[],other,0.0
넛맥 파우더,[],other,0.0
다크 럼,[],other,0.0
데킬라,[],base spirit,40.0
듀어스 12년,[],other,0.0
드라이 베르뭇,[],other,0.0
드라이 진,[],base spirit,40.0
드람뷔,[],liqueur,40.0
디사론노,[],other,0.0
라이 위스키,[],other,0.0
라임,[],other,0.0
라임 즙,[],other,0.0
라즈베리,[],other,0.0
라즈베리 시럽,[],other,0.0
럼,[],base spirit,40.0
레드와인,[],other,0.0
레모네이드,[],other,0.0
레몬,[],other,0.0
레몬 즙,[],other,0.0
레포사도 데킬라,[],other,0.0
로즈마리,[],other,0.0
론디아즈 151,['151럼'],other,0.0
롱드링크 잔에 얼음,[],other,0.0
룩사르도 마라스키노,[],other,0.0
룩사르도 마라스키노 리큐르,[],other,0.0
릴레 블랑,[],other,0.0
마라스키노 체리,[],other,0.0
마요네즈,[],other,0.0
말리부,[],other,0.0
맥주,[],other,0.0
메즈칼,[],base spirit,40.0
멜론 리큐르,[],other,0.0
물,[],other,0.0
미도리,[],other,0.0
민트,[],other,0.0
민트 체리,[],other,0.0
바나나,[],other,0.0
바나나 리큐르,[],other,0.0
바나나칩,[],other,0.0
바닐라 보드카,[],other,0.0
바닐라 시럽,[],other,0.0
바카디 화이트,[],other,0.0
바카디 화이트 럼,[],other,0.0
버번 위스키,[],base spirit,46.5
벌꿀,[],other,0.0
베네딕틴 D.O.M,[],liqueur,40.0
베일리스,[],liqueur,17.0
보드카,[],base spirit,40.0
봄베이 브램블 진,[],other,0.0
브랜디,[],base spirit,40.0
블랙베리,[],other,0.0
블렌디드 스카치 위스키,[],other,0.0
블루 큐라소,[],other,0.0
빨간 체리,[],other,0.0
사과,[],other,0.0
생 제르맹,[],other,0.0
샹그리아,[],other,0.0
석류 가죽,[],other,0.0
설탕,[],other,0.0
설탕 시럽,[],other,0.0
스윗 베르뭇,[],other,0.0
스윗 앤 사워 믹스,['스윗사워믹스'],other,0.0
스카치 위스키,[],base spirit,40.0
스타우트,[],other,0.0
스프라이트,[],other,0.0
슬로 진,[],other,0.0
시나몬 스틱,[],other,0.0
실버 데킬라,[],other,0.0
아가베 시럽,[],other,0.0
아마레또,[],liqueur,28.0
아몬드 브리즈,[],other,0.0
아몬드 익스트랙,[],other,0.0
아페롤,[],other,0.0
압생트,[],other,0.0
앙고스투라 비터,[],bitter,44.7
애프리콧 브랜디,['애프리코트 브랜디'],other,0.0
애플민트,[],other,0.0
애플퍼커,[],other,0.0
엘더플라워 리큐르,[],other,0.0
오렌지,[],other,0.0
오렌지 비터,[],other,0.0
오렌지 칩,[],other,0.0
오렌지 플라워 워터,[],other,0.0
오르쟈 시럽,[],other,0.0
오버프루프 럼,[],other,0.0
오이 하프,[],other,0.0
올드 톰 진,[],other,0.0
올리브,[],other,0.0
우유,[],other,0.0
자몽,[],other,0.0
잭다니엘 애플,[],other,0.0
제로펩시,[],other,0.0
조니워커 블랙라벨 오징어게임 에디션,[],other,0.0
조니워커 블랙루비,[],other,0.0
지룩스 라임,[],other,0.0
진,[],base spirit,40.0
진저비어,[],other,0.0
진저에일,['진지비어'],other,0.0
쪽파,[],other,0.0
청사과,[],other,0.0
청양고추,[],other,0.0
체리,[],other,0.0
초콜릿 비터,[],other,0.0
치나,[],other,0.0
카샤사,[],other,0.0
카시스 리큐르,[],other,0.0
카카오 화이트,[],other,0.0
캄파리,[],bitter,24.0
케텔 원 보드카,[],other,0.0
코냑,[],brandy,40.0
코인트로,[],liqueur,40.0
코코넛 밀크,[],other,0.0
코코넛 크림,[],other,0.0
콜라,[],other,0.0
쿠바 럼,[],other,0.0
크러쉬드 아이스,[],other,0.0
크렌베리,[],other,0.0
크렘 드 민트 그린,[],liqueur,25.0
크렘 드 민트 화이트,[],liqueur,25.0
크렘 드 카시스,[],other,0.0
크렘 드 카카오 화이트,[],other,0.0
탄산수,[],other,0.0
테라,[],other,0.0
토닉워터,[],other,0.0
트리플 섹,[],other,0.0
파마,[],other,0.0
파인애플,[],other,0.0
패션후르츠 믹스,[],other,0.0
페이쇼드 비터,[],other,0.0
푼테메스,[],other,0.0
피나콜라다 믹스,[],other,0.0
피스코,[],base spirit,38.0
피치트리,[],other,0.0
하바나 클럽 럼,[],other,0.0
핸드릭스 진,[],other,0.0
허니 시럽,[],other,0.0
호세쿠엘보,[],other,0.0
화이트 럼,[],base spirit,40.0
후추,[],other,0.0
